"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-04",,"76","52","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-05",,"79","57","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-06",,"85","60","84"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-07",,"84","64","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-08",,"84","67","79"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-09",,"87","72","83"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-10",,"83","62","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-11",,"78","60","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-12",,"79","53","78"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-13",,"78","57","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-14",,"84","61","83"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-15",,"89","66","86"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-16",,"86","59","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-17",,"75","56","60"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-18",,"75","59","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-19",,"72","47","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-20",,"71","48","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-21",,"72","50","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-22",,"79","53","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-23",,"82","64","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-24",,"80","64","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-25",,"81","57","79"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-26",,"81","65","74"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-27",,"77","61","74"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-28",,"79","63","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-29",,"82","65","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-30",,"83","70","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-31",,"85","67","82"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-01",,"88","66","86"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-02",,"86","69","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-03",,"85","66","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-04",,"81","60","65"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-05",,"65","47","65"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-06",,"72","47","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-07",,"81","50","79"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-08",,"82","64","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-09",,"78","66","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-10",,"77","66","66"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-11",,"80","64","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-12",,"74","63","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-13",,"73","47","71"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-14",,"71","54","59"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-15",,"61","48","57"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-16",,"63","40","60"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-17",,"74","46","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-18",,"79","50","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-19",,"81","55","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-20",,"79","61","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-21",,"70","48","57"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-22",,"63","43","56"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-23",,"77","56","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-24",,"67","49","53"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-25",,"53","42","52"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-26",,"65","40","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-27",,"73","43","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-28",,"67","38","56"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-29",,"66","40","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-09-30",,"72","41","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-01",,"76","49","74"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-02",,"78","59","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-03",,"73","53","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-04",,"63","48","61"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-05",,"51","46","48"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-06",,"54","36","48"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-07",,"47","32","44"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-08",,"43","35","42"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-09",,"53","36","49"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-10",,"63","36","60"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-11",,"69","40","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-12",,"70","40","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-13",,"73","49","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-14",,"75","51","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-15",,"65","53","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-16",,"56","51","55"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-17",,"63","50","59"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-18",,"66","43","62"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-19",,"68","42","66"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-20",,"73","46","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-21",,"70","47","66"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-22",,"65","43","60"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-23",,"66","45","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-24",,"67","57","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-25",,"66","56","62"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-26",,"64","57","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-27",,"75","49","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-28",,"54","32","49"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-29",,"58","30","45"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-30",,"53","33","42"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-10-31",,"63","34","53"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-01",,"62","38","53"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-02",,"65","45","59"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-03",,"64","48","56"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-04",,"56","36","45"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-05",,"56","33","47"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-06",,"55","35","49"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-07",,"54","44","52"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-08",,"58","45","52"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-09",,"63","47","61"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-10",,"61","43","43"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-11",,"49","31","43"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-12",,"43","38","41"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-13",,"44","38","40"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-14",,"40","31","34"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-15",,"39","31","35"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-16",,"44","30","39"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-17",,"39","31","31"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-18",,"31","27","30"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-19",,"37","28","37"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-20",,"37","25","31"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-21",,"32","23","23"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-22",,"29","18","23"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-23",,"30","15","28"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-24",,"39","20","32"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-11-25",,"41","26","39"
